location,date,vaccine,total_vaccinations,month
Argentina,2021-03-19,Moderna,2,2021-03
Argentina,2021-03-19,Oxford/AstraZeneca,563430,2021-03
Argentina,2021-03-19,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-19,Sinopharm/Beijing,725122,2021-03
Argentina,2021-03-19,Sputnik V,1959408,2021-03
Argentina,2021-03-20,CanSino,3,2021-03
Argentina,2021-03-20,Moderna,2,2021-03
Argentina,2021-03-20,Oxford/AstraZeneca,563767,2021-03
Argentina,2021-03-20,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-20,Sinopharm/Beijing,729059,2021-03
Argentina,2021-03-20,Sputnik V,2005991,2021-03
Argentina,2021-03-21,CanSino,3,2021-03
Argentina,2021-03-21,Moderna,2,2021-03
Argentina,2021-03-21,Oxford/AstraZeneca,563789,2021-03
Argentina,2021-03-21,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-21,Sinopharm/Beijing,729408,2021-03
Argentina,2021-03-21,Sputnik V,2025244,2021-03
Argentina,2021-03-22,CanSino,3,2021-03
Argentina,2021-03-22,Moderna,2,2021-03
Argentina,2021-03-22,Oxford/AstraZeneca,565252,2021-03
Argentina,2021-03-22,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-22,Sinopharm/Beijing,746793,2021-03
Argentina,2021-03-22,Sputnik V,2089411,2021-03
Argentina,2021-03-23,CanSino,3,2021-03
Argentina,2021-03-23,Moderna,2,2021-03
Argentina,2021-03-23,Oxford/AstraZeneca,569940,2021-03
Argentina,2021-03-23,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-23,Sinopharm/Beijing,760339,2021-03
Argentina,2021-03-23,Sputnik V,2177600,2021-03
Argentina,2021-03-24,CanSino,3,2021-03
Argentina,2021-03-24,Moderna,2,2021-03
Argentina,2021-03-24,Oxford/AstraZeneca,571216,2021-03
Argentina,2021-03-24,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-24,Sinopharm/Beijing,763475,2021-03
Argentina,2021-03-24,Sputnik V,2210640,2021-03
Argentina,2021-03-25,CanSino,3,2021-03
Argentina,2021-03-25,Moderna,2,2021-03
Argentina,2021-03-25,Oxford/AstraZeneca,572564,2021-03
Argentina,2021-03-25,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-25,Sinopharm/Beijing,774370,2021-03
Argentina,2021-03-25,Sputnik V,2301558,2021-03
Argentina,2021-03-26,CanSino,3,2021-03
Argentina,2021-03-26,Moderna,2,2021-03
Argentina,2021-03-26,Oxford/AstraZeneca,575204,2021-03
Argentina,2021-03-26,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-26,Sinopharm/Beijing,783534,2021-03
Argentina,2021-03-26,Sputnik V,2383288,2021-03
Argentina,2021-03-27,CanSino,3,2021-03
Argentina,2021-03-27,Moderna,2,2021-03
Argentina,2021-03-27,Oxford/AstraZeneca,576091,2021-03
Argentina,2021-03-27,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-27,Sinopharm/Beijing,785838,2021-03
Argentina,2021-03-27,Sputnik V,2435164,2021-03
Argentina,2021-03-28,CanSino,3,2021-03
Argentina,2021-03-28,Moderna,2,2021-03
Argentina,2021-03-28,Oxford/AstraZeneca,576984,2021-03
Argentina,2021-03-28,Pfizer/BioNTech,2,2021-03
Argentina,2021-03-28,Sinopharm/Beijing,786314,2021-03
Argentina,2021-03-28,Sputnik V,2454605,2021-03
Argentina,2021-03-29,CanSino,3,2021-03
Argentina,2021-03-29,Moderna,2,2021-03
Argentina,2021-03-29,Oxford/AstraZeneca,580558,2021-03
Argentina,2021-03-29,Pfizer/BioNTech,3,2021-03
Argentina,2021-03-29,Sinopharm/Beijing,797817,2021-03
Argentina,2021-03-29,Sputnik V,2559688,2021-03
Argentina,2021-03-30,CanSino,3,2021-03
Argentina,2021-03-30,Moderna,2,2021-03
Argentina,2021-03-30,Oxford/AstraZeneca,583420,2021-03
Argentina,2021-03-30,Pfizer/BioNTech,3,2021-03
Argentina,2021-03-30,Sinopharm/Beijing,808319,2021-03
Argentina,2021-03-30,Sputnik V,2709297,2021-03
Argentina,2021-03-31,CanSino,3,2021-03
Argentina,2021-03-31,Moderna,2,2021-03
Argentina,2021-03-31,Oxford/AstraZeneca,603350,2021-03
Argentina,2021-03-31,Pfizer/BioNTech,3,2021-03
Argentina,2021-03-31,Sinopharm/Beijing,820316,2021-03
Argentina,2021-03-31,Sputnik V,2852266,2021-03
Argentina,2021-04-01,CanSino,3,2021-04
Argentina,2021-04-01,Moderna,2,2021-04
Argentina,2021-04-01,Oxford/AstraZeneca,628906,2021-04
Argentina,2021-04-01,Pfizer/BioNTech,3,2021-04
Argentina,2021-04-01,Sinopharm/Beijing,824077,2021-04
Argentina,2021-04-01,Sputnik V,2940071,2021-04
Argentina,2021-04-02,CanSino,3,2021-04
Argentina,2021-04-02,Moderna,2,2021-04
Argentina,2021-04-02,Oxford/AstraZeneca,641722,2021-04
Argentina,2021-04-02,Pfizer/BioNTech,3,2021-04
Argentina,2021-04-02,Sinopharm/Beijing,826393,2021-04
Argentina,2021-04-02,Sputnik V,2993077,2021-04
Argentina,2021-04-03,CanSino,3,2021-04
Argentina,2021-04-03,Moderna,2,2021-04
